Pangu_Event,Is_Top_Match_Itself,1st_Match_ERA5,1st_Sim_Score,2nd_Match_ERA5,2nd_Sim_Score,3rd_Match_ERA5,3rd_Sim_Score
FL_2020_000125_TZA,False,FL_1998_000112_TZA,0.7884305,FF_2014_000009_TZA,0.78565985,FL_2014_000053_TZA,0.75456655
FL_2019_000015_PER,False,FL_2002_000077_PER,0.9028195,FL_2006_000031_PER,0.9021749,FL_2007_000009_PER,0.8970004
FL_2022_000164_ECU,True,FL_2022_000164_ECU,0.8803544,FL_2012_000013_ECU,0.8263193,FL_2008_000018_ECU,0.8199661
FL_2022_000333_THA,True,FL_2022_000333_THA,0.71370393,FL_2009_000237_THA,0.6609208,FL_2005_000209_THA,0.552536
FF_2020_000006_IRN,True,FF_2020_000006_IRN,0.84854573,FL_2002_000020_IRN,0.6943639,FL_2001_000453_IRN,0.6408715
FL_2020_000195_CMR,False,FL_2012_000157_CMR,0.7235307,FL_2020_000195_CMR,0.68682516,FL_2008_000126_TCD,0.62337506
FL_2022_000265_YEM,True,FL_2022_000265_YEM,0.90131295,FF_2019_000054_YEM,0.73993194,FL_2021_000110_YEM,0.61824787
FL_2020_000050_AFG,False,FL_2011_000022_AFG,0.74590087,FL_2010_000127_AFG,0.70820916,FL_2005_000048_AFG,0.70526564
FF_2020_000191_AFG,True,FF_2020_000191_AFG,0.9303238,FL_2009_000171_AFG,0.8673314,FF_2007_000091_AFG,0.816533
FL_2021_000108_SSD,True,FL_2021_000108_SSD,0.77228916,FL_2019_000009_ARG,0.6984502,FL_2009_000248_URY,0.66037625
FL_2022_000286_MRT,True,FL_2022_000286_MRT,0.74851763,FL_2021_000084_TCD,0.62825316,FL_2012_000056_PRY,0.6015256
FL_2021_000213_STP,False,FL_2005_000182_IND,0.48012936,FL_2007_000127_MRT,0.46242744,FL_2009_000044_BIH,0.44556636
FL_2022_000349_CMR,True,FL_2022_000349_CMR,0.71651757,FL_2007_000149_CMR,0.67281324,FF_2017_000122_CMR,0.6694162
FL_2020_000165_NPL,True,FL_2020_000165_NPL,0.86080116,FL_2010_000160_NPL,0.8277565,FL_2006_000127_NPL,0.8137851
FL_2019_000047_GEO,True,FL_2019_000047_GEO,0.81289804,FF_2012_000079_GEO,0.7983772,FL_2022_000261_GEO,0.76186204
FL_2021_000049_RWA,False,FL_2019_000170_RWA,0.84479177,FL_2021_000049_RWA,0.83526254,FL_2015_000042_RWA,0.8299852
FL_2018_000112_GEO,True,FL_2018_000112_GEO,0.9170893,FF_2013_000084_GEO,0.845847,FF_2012_000120_GEO,0.77933943
FL_2019_000100_MLI,False,FL_2000_000255_ARG,0.74999315,FL_2015_000110_ARG,0.7262938,FL_2016_000137_ARG,0.66863656
FL_2021_000050_AFG,False,FL_2007_000054_AFG,0.85847795,FL_2021_000050_AFG,0.8454381,FL_1997_000097_AFG,0.7865368
FL_2022_000290_SEN,True,FL_2022_000290_SEN,0.726991,FL_2011_000091_BEN,0.6237768,FL_2011_000108_SEN,0.6151973
FL_2019_000138_KEN,False,FF_2012_000062_KEN,0.8140157,FL_2019_000138_KEN,0.81333137,FL_2013_000004_KEN,0.80120736
FL_2022_000261_GEO,True,FL_2022_000261_GEO,0.91068083,FL_2020_000175_GEO,0.78204554,FL_2019_000047_GEO,0.7409016
FL_2019_000181_IDN,False,FL_2016_000114_EGY,0.5457554,FL_2009_000140_MNG,0.5371951,FL_2006_000018_IRQ,0.52778065
FL_2022_000356_ETH,False,FL_2007_000161_UGA,0.9005552,FF_2008_000141_ETH,0.87199175,FL_2010_000179_ETH,0.8673102
FL_2020_000185_PAK,True,FL_2020_000185_PAK,0.8395509,FF_2013_000090_PAK,0.7250074,FL_2014_000122_PAK,0.71761286
FL_2021_000126_MYS,False,FL_2001_000227_RUS,0.54162794,FL_2014_000014_SYC,0.5077438,FL_2007_000194_GTM,0.5064217
FL_2020_000193_SSD,True,FL_2020_000193_SSD,0.6193252,FL_2000_000806_FJI,0.5992072,FL_2021_000145_BEN,0.5952397
FL_2019_000116_ETH,True,FL_2019_000116_ETH,0.85283065,FL_2011_000124_ETH,0.84477496,FL_2006_000112_ETH,0.8247621
FL_2022_000201_ZAF,True,FL_2022_000201_ZAF,0.7897031,FL_2022_000382_ZAF,0.52320963,FL_2014_000038_ZAF,0.5179498
FL_2021_000152_GEO,True,FL_2021_000152_GEO,0.8913685,FF_2011_000071_GEO,0.78087115,FF_2013_000084_GEO,0.75968397
FL_2019_000014_MWI,True,FL_2019_000014_MWI,0.87670255,FL_2015_000006_MWI,0.8024483,FL_1997_000025_MWI,0.6934477
FL_2022_000135_ZMB,True,FL_2022_000135_ZMB,0.59460723,FL_2013_000023_ZMB,0.5197513,FL_2012_000075_VEN,0.40552676
FL_2021_000001_MYS,False,FL_1998_000255_TUR,0.5357867,FL_2007_000222_MYS,0.50988805,FL_2000_000476_NPL,0.45480776
FL_2019_000048_TZA,False,FL_2014_000053_TZA,0.81816876,FL_2005_000062_TZA,0.8141521,FL_2019_000048_TZA,0.79165
FL_2022_000190_TUN,True,FL_2022_000190_TUN,0.88335526,FF_2009_000204_TUN,0.66400784,FL_2003_000585_MKD,0.51841724
FL_2019_000064_SDN,False,FL_2017_000088_SDN,0.7988737,FL_2010_000139_SDN,0.7824509,FL_2019_000064_SDN,0.7791494
FL_2019_000062_SSD,False,FL_2012_000172_MLI,0.67176735,FL_2020_000193_SSD,0.62682235,FL_2010_000195_MLI,0.61557925
FL_2021_000095_MMR,True,FL_2021_000095_MMR,0.90231395,FL_2011_000107_MMR,0.84949523,FL_2017_000091_MMR,0.79806083
FL_2019_000145_TZA,False,FL_2014_000053_TZA,0.7933222,FL_2019_000145_TZA,0.7778498,FL_1998_000112_TZA,0.76774776
FL_2019_000136_SLV,True,FL_2019_000136_SLV,0.90028656,FL_2005_000103_SLV,0.7373836,TC_2018_000167_SLV,0.6917822
FL_2020_000011_MOZ,False,FL_2017_000012_MOZ,0.92163146,FL_2020_000011_MOZ,0.91719455,FL_1997_000026_MOZ,0.76738566
FL_2019_000160_COG,False,FL_2012_000153_IDN,0.60752547,FL_2011_000038_KAZ,0.57813907,FL_2009_000242_IRQ,0.53068566
FL_2019_000167_BDI,False,FL_2011_000037_BDI,0.8934556,FL_2006_000190_BDI,0.88038015,FL_2014_000019_BDI,0.8580549
FL_2022_000276_GMB,True,FL_2022_000276_GMB,0.76012844,FL_1998_000329_BEN,0.60926175,FL_2007_000151_TCD,0.5753666
FF_2020_000168_MNG,True,FF_2020_000168_MNG,0.7389842,FF_2021_000098_MNG,0.67522144,FL_2002_000540_DZA,0.5908593
FL_2022_000336_VNM,True,FL_2022_000336_VNM,0.8238498,FL_1999_000574_VNM,0.753628,FL_2003_000505_VNM,0.7446843
FL_2021_000208_IRQ,True,FL_2021_000208_IRQ,0.8405617,FL_2003_000585_MKD,0.5379877,FL_2018_000414_IRQ,0.5221648
FL_2023_000001_COG,False,FF_2013_000100_RUS,0.5813296,FL_2022_000249_CIV,0.5648173,FL_2023_000001_COG,0.560976
FL_2021_000007_SYR,True,FL_2021_000007_SYR,0.91696954,FL_2010_000031_PRT,0.60996854,FL_2010_000072_RUS,0.57311153
FF_2020_000156_UKR,True,FF_2020_000156_UKR,0.8924485,FL_2021_000084_TCD,0.58509004,FL_2006_000050_ARG,0.5704521
LS_2022_000283_LKA,False,LS_2015_000135_LKA,0.8309236,FL_1999_000161_LKA,0.81029344,FL_2014_000070_LKA,0.7734201
FL_2021_000019_PER,True,FL_2021_000019_PER,0.9108286,FL_2007_000009_PER,0.89428425,FL_2006_000031_PER,0.89260143
FL_2018_000154_GHA,True,FL_2018_000154_GHA,0.76721954,FL_2001_000314_GHA,0.6741747,FL_2017_000095_GHA,0.6241992
FL_2018_000004_COD,True,FL_2018_000004_COD,0.6622553,FL_2006_000047_COD,0.55130905,FL_1998_000213_KGZ,0.5224073
FL_2019_000079_BGD,False,FL_2002_000402_BGD,0.6099597,FL_2004_000044_BGD,0.5938521,FL_2000_000617_BGD,0.5895854
FL_2019_000009_ARG,True,FL_2019_000009_ARG,0.9191429,FL_2009_000248_URY,0.7839047,FL_2015_000110_ARG,0.7540529
FL_2020_000202_GIN,True,FL_2020_000202_GIN,0.89477336,FL_2009_000178_GIN,0.79551387,FL_2011_000131_GIN,0.7725637
FL_2019_000051_LBY,True,FL_2019_000051_LBY,0.8844654,FL_2011_000109_PAK,0.56550646,FL_2013_000119_MRT,0.54932165
FL_2021_000068_SUR,True,FL_2021_000068_SUR,0.64702106,FL_2008_000239_NIC,0.4668308,FL_2006_000057_SUR,0.46151528
FL_2018_000360_RUS,True,FL_2018_000360_RUS,0.9134046,FF_2013_000100_RUS,0.7572273,FL_2017_000052_RUS,0.70255625
FL_2019_000163_UGA,False,FL_2021_000153_UGA,0.73785734,FL_2019_000163_UGA,0.7339238,FL_2022_000275_UGA,0.7192937
FL_2018_000065_TJK,True,FL_2018_000065_TJK,0.86030316,FL_2003_000273_TJK,0.79875106,FL_2014_000054_TJK,0.79322517
FL_2022_000328_HND,True,FL_2022_000328_HND,0.89371836,FL_1999_000324_HND,0.8168957,FL_2008_000191_HND,0.7694833
FL_2019_000033_PRY,False,FL_2009_000226_PRY,0.63355625,FL_2019_000033_PRY,0.6177155,FL_2007_000125_PHL,0.61366415
FL_2018_000014_ARG,True,FL_2018_000014_ARG,0.82669324,FL_2007_000022_ARG,0.7186278,FL_2006_000030_SRB,0.7140305
FL_2020_000019_MDG,True,FL_2020_000019_MDG,0.74780846,FL_2005_000038_MDG,0.57525706,FL_2012_000140_MMR,0.5645385
FL_2021_000135_GIN,False,FL_2017_000083_GIN,0.6248009,FL_2010_000121_DOM,0.6040199,FL_2021_000135_GIN,0.59283435
FL_2022_000254_PAK,True,FL_2022_000254_PAK,0.89656824,FF_2009_000159_PAK,0.8281696,FF_2012_000148_PAK,0.77170384
FF_2022_000209_AFG,True,FF_2022_000209_AFG,0.8565451,FL_2009_000080_AFG,0.69730127,FL_1997_000097_AFG,0.6894279
FL_2020_000190_NER,True,FL_2020_000190_NER,0.7906511,FL_2019_000101_NER,0.7184816,FL_2001_000314_GHA,0.619462
FF_2020_000123_YEM,True,FF_2020_000123_YEM,0.907875,FF_2006_000039_YEM,0.6895219,FF_2016_000034_YEM,0.620382
FL_2019_000030_IRQ,True,FL_2019_000030_IRQ,0.61205703,FL_2012_000071_NPL,0.5324597,FL_2001_000571_PRK,0.52409124
FL_2022_000292_LAO,True,FL_2022_000292_LAO,0.8367311,FF_2016_000093_LAO,0.70861566,FL_2019_000103_LAO,0.6975725
FL_2018_000120_NGA,True,FL_2018_000120_NGA,0.79146236,FL_2017_000126_NGA,0.7279018,FL_2007_000123_NGA,0.72152686
FL_2018_000134_IND,True,FL_2018_000134_IND,0.7326615,FF_2007_000083_IND,0.70228577,FL_2005_000104_IND,0.6413947
FL_2019_000067_UGA,False,FL_2022_000275_UGA,0.7956206,FL_2021_000153_UGA,0.7703382,FL_2019_000067_UGA,0.76340795
FL_2022_000362_LCA,False,FF_2022_000209_AFG,0.56187785,FL_2008_000032_KAZ,0.5295818,FF_2006_000163_AFG,0.49873596
FL_2022_000249_CIV,True,FL_2022_000249_CIV,0.68867946,FL_2020_000154_CIV,0.5897348,FL_2012_000172_MLI,0.58265966
FF_2018_000030_KEN,True,FF_2018_000030_KEN,0.82090944,FF_2006_000046_KEN,0.8192011,FL_2007_000221_KEN,0.7927547
FL_2020_000172_MMR,True,FL_2020_000172_MMR,0.92591417,FL_2017_000091_MMR,0.87994725,FL_2013_000087_MMR,0.8322636
FL_2020_000210_VNM,True,FL_2020_000210_VNM,0.89299804,FF_2017_000101_VNM,0.79189366,FL_1999_000244_VNM,0.7674562
