Target Event,Latent Top-5,Domain Top-5,Hybrid Top-5,Key Match ID,Key Match ΔR,Physical Interpretation,Overlap @ 5,RMR @ 5,Avg ΔR @ 5
FF_2021_000098_MNG,"FF_2020_000168_MNG, FL_2003_000571_DOM, FF_2014_000009_TZA, FL_2010_000067_BRA, FL_2020_000038_EGY","FL_2009_000140_MNG, FF_2020_000168_MNG, FL_2003_000350_MNG, FL_2018_000092_MNG, FF_2012_000107_SLB","FF_2020_000168_MNG, FL_2003_000571_DOM, FF_2014_000009_TZA, FL_2010_000067_BRA, FL_2020_000038_EGY",FF_2020_000168_MNG,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,20%,0.0
FL_2018_000029_RWA,"FL_2019_000170_RWA, FL_2008_000182_RWA, FL_2011_000051_RWA, FL_2021_000049_RWA, FL_2007_000159_RWA","FL_2019_000170_RWA, FL_2008_000182_RWA, FL_2007_000159_RWA, FL_2011_000051_RWA, FL_2013_000076_PRY","FL_2019_000170_RWA, FL_2008_000182_RWA, FL_2011_000051_RWA, FL_2021_000049_RWA, FL_2007_000159_RWA",FL_2019_000170_RWA,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,100%,0.0
FL_2021_000161_IND,"FL_2005_000182_IND, FL_2009_000217_IND, FL_1999_000371_IND, FF_2007_000083_IND, FL_2016_000060_IND","FL_1999_000371_IND, FL_2018_000134_IND, FL_2022_000164_ECU, FL_2002_000374_IND, FL_2005_000182_IND","FL_2005_000182_IND, FL_2009_000217_IND, FL_1999_000371_IND, FF_2007_000083_IND, FL_2016_000060_IND",FL_2005_000182_IND,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,100%,0.0
FL_2019_000022_IRN,"FL_2001_000180_IRN, FL_1998_000085_IRN, FL_1999_000235_IRN, FL_1998_000359_UKR, FF_2008_000202_MAR","FL_2001_000180_IRN, FF_2016_000034_YEM, FL_1998_000085_IRN, FL_1998_000247_IRN, FL_1999_000235_IRN","FL_2001_000180_IRN, FL_1998_000085_IRN, FL_1999_000235_IRN, FL_1998_000359_UKR, FL_2001_000375_IRN",FL_2001_000180_IRN,0.0,Perfect consensus: strong latent-domain regional alignment.,80%,80%,0.2
FL_2022_000316_NER,"FL_2014_000115_NER, FL_2016_000091_NER, FL_2009_000174_NER, FL_2012_000141_NER, FL_2006_000029_NAM","FL_2009_000174_NER, FL_2007_000147_NER, FL_2010_000139_SDN, FL_2013_000098_NER, FL_2011_000122_NER","FL_2014_000115_NER, FL_2016_000091_NER, FL_2009_000174_NER, FL_2012_000141_NER, FL_2006_000029_NAM",FL_2014_000115_NER,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,80%,0.0
FL_2018_000046_RUS,"FL_2010_000208_RUS, FL_2012_000063_RUS, FL_2010_000051_KAZ, FL_2016_000117_ALB, FL_2018_000034_BLR","FL_2017_000052_RUS, FL_2010_000072_RUS, FL_2010_000208_RUS, FL_2018_000360_RUS, FL_2011_000123_RUS","FL_2010_000208_RUS, FL_2012_000063_RUS, FL_2010_000051_KAZ, FL_2016_000117_ALB, FL_2018_000034_BLR",FL_2010_000208_RUS,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,40%,0.0
FL_2020_000175_GEO,"FF_2012_000120_GEO, FL_2021_000152_GEO, FF_2013_000084_GEO, FL_2019_000047_GEO, FL_2015_000071_GEO","FL_2019_000047_GEO, FL_2018_000112_GEO, FL_2005_000065_GEO, FL_2022_000261_GEO, FL_2015_000071_GEO","FF_2012_000120_GEO, FL_2021_000152_GEO, FL_2019_000047_GEO, FF_2013_000084_GEO, FL_2015_000071_GEO",FF_2012_000120_GEO,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,100%,0.0
FL_2019_000156_DJI,"FL_2001_000025_MWI, FL_2006_000013_MWI, FL_2009_000239_BRA, FL_2013_000041_GHA, FL_2012_000210_MWI","FL_2009_000089_BRA, FL_2002_000540_DZA, FL_2018_000092_MNG, FL_2012_000126_PAN, FL_2022_000356_ETH","FL_2001_000025_MWI, FL_2006_000013_MWI, FL_2009_000239_BRA, FL_2013_000041_GHA, FL_2012_000210_MWI",FL_2001_000025_MWI,0.0,Latent-driven match; continuous atmospheric physics dominated.,100%,0%,0.0
FL_2020_000176_SDN,"FL_2017_000088_SDN, FL_2011_000120_SDN, FL_2010_000139_SDN, FL_2001_000417_SDN, FL_2003_000368_SDN","FL_2021_000023_DZA, FL_2022_000277_SDN, FL_2010_000208_RUS, FL_2014_000123_SSD, FL_2016_000054_HTI","FL_2017_000088_SDN, FL_2011_000120_SDN, FL_2010_000139_SDN, FL_2001_000417_SDN, FL_2003_000368_SDN",FL_2017_000088_SDN,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,100%,0.0
FL_2019_000135_GHA,"FL_1999_000315_GHA, FL_2020_000202_GIN, FL_2001_000314_GHA, FL_2011_000106_GHA, FL_2013_000076_PRY","FL_1999_000315_GHA, FL_2002_000373_GHA, FL_2017_000095_GHA, FL_2001_000314_GHA, FL_2013_000041_GHA","FL_1999_000315_GHA, FL_2020_000202_GIN, FL_2001_000314_GHA, FL_2011_000106_GHA, FL_2013_000076_PRY",FL_1999_000315_GHA,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,60%,0.0
FL_2022_000321_CAF,"FL_2009_000087_VUT, FL_2019_000098_CAF, FL_2020_000154_CIV, FL_2012_000106_BGD, FL_2018_000128_SDN","FL_2011_000164_CAF, FL_2013_000074_HTI, FL_1999_000413_CAF, ST_2011_000073_CAF, FL_2005_000105_HTI","FL_2009_000087_VUT, FL_2019_000098_CAF, FL_2020_000154_CIV, FL_2012_000106_BGD, FL_2018_000128_SDN",FL_2009_000087_VUT,0.0,Latent-driven match; continuous atmospheric physics dominated.,100%,20%,0.0
FL_2020_000164_IND,"FF_2007_000083_IND, FL_2019_000084_IND, FL_1999_000213_IND, FL_2005_000104_IND, FL_2018_000134_IND","FL_2021_000147_THA, FL_2006_000070_IND, FL_2002_000374_IND, FL_2005_000104_IND, FF_2012_000102_PHL","FF_2007_000083_IND, FL_2019_000084_IND, FL_1999_000213_IND, FL_2005_000104_IND, FL_2018_000134_IND",FF_2007_000083_IND,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,100%,0.0
FL_2018_000054_BDI,"FL_2021_000039_BDI, FL_2008_000187_BDI, FL_2020_000054_BDI, FL_2009_000075_BDI, FL_2015_000176_BDI","FL_2009_000075_BDI, FL_2008_000187_BDI, FL_2015_000176_BDI, FL_2014_000019_BDI, FL_2006_000190_BDI","FL_2021_000039_BDI, FL_2008_000187_BDI, FL_2020_000054_BDI, FL_2009_000075_BDI, FL_2015_000176_BDI",FL_2021_000039_BDI,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,100%,0.0
FL_2020_000132_UGA,"FL_2021_000153_UGA, FL_2013_000055_UGA, FL_2022_000275_UGA, FL_1997_000301_UGA, FL_2007_000138_UGA","FL_2022_000275_UGA, FL_2008_000175_UGA, FF_2020_000006_IRN, FL_2019_000011_IDN, FL_2021_000161_IND","FL_2021_000153_UGA, FL_2013_000055_UGA, FL_2022_000275_UGA, FL_1997_000301_UGA, FL_2007_000138_UGA",FL_2021_000153_UGA,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,100%,0.0
FL_2019_000103_LAO,"FL_2022_000292_LAO, FL_2000_000583_LAO, FL_2013_000101_LAO, FL_2008_000054_THA, FF_2018_000118_LAO","FL_2002_000614_LAO, FF_2018_000118_LAO, FL_2008_000054_THA, FL_2000_000583_LAO, FF_2016_000093_LAO","FL_2022_000292_LAO, FL_2000_000583_LAO, FL_2013_000101_LAO, FL_2008_000054_THA, FF_2018_000118_LAO",FL_2022_000292_LAO,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,80%,0.0
FL_2020_000199_MRT,"FL_2002_000373_GHA, FL_2001_000390_POL, FL_2022_000336_VNM, FL_2013_000052_SOM, FL_2013_000004_KEN","FL_2019_000108_MRT, FL_2013_000119_MRT, FL_2009_000170_MRT, FF_2012_000196_COG, FL_2022_000286_MRT","FL_2002_000373_GHA, FL_2001_000390_POL, FL_2022_000336_VNM, FL_2013_000052_SOM, FL_2013_000004_KEN",FL_2002_000373_GHA,0.0,Latent-driven match; continuous atmospheric physics dominated.,100%,0%,0.0
FL_2019_000089_SLE,"FL_2005_000139_SLE, FL_2007_000177_SLE, FL_2015_000131_SLE, FF_2022_000309_SLE, FL_2001_000521_TCD","FL_2015_000131_SLE, FL_2020_000126_ETH, FL_2019_000067_UGA, FL_2007_000177_SLE, FF_2022_000309_SLE","FL_2005_000139_SLE, FL_2007_000177_SLE, FL_2015_000131_SLE, FF_2022_000309_SLE, FL_2001_000521_TCD",FL_2005_000139_SLE,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,80%,0.0
FL_2020_000200_BFA,"FL_2009_000172_BFA, FL_1991_000010_PHL, FL_2006_000120_BFA, FL_2001_000332_IND, FL_2001_000314_GHA","FL_2007_000153_GHA, FL_2006_000120_BFA, FL_2003_000389_BFA, FL_2008_000074_BFA, FL_2007_000132_BFA","FL_2009_000172_BFA, FL_1991_000010_PHL, FL_2006_000120_BFA, FL_2001_000332_IND, FL_2001_000314_GHA",FL_2009_000172_BFA,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,40%,0.0
FL_2021_000092_CRI,"FL_2002_000755_CRI, FL_2012_000126_PAN, FL_2015_000079_CRI, FL_2004_000120_CRI, FL_2002_000263_CRI","FL_2018_000165_CRI, FL_2004_000023_CRI, FL_1999_000350_CRI, FL_2008_000191_CRI, FL_2009_000039_CRI","FL_2002_000755_CRI, FL_2012_000126_PAN, FL_2015_000079_CRI, FL_2004_000120_CRI, FL_2002_000263_CRI",FL_2002_000755_CRI,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,80%,0.0
FL_2021_000038_KEN,"FF_2006_000046_KEN, FF_2012_000062_KEN, FL_2011_000115_KEN, FL_2010_000174_KEN, FL_2007_000139_KEN","FL_2008_000217_KEN, FL_2016_000054_HTI, FL_2015_000040_SOM, FL_2015_000169_KEN, FL_2009_000218_KEN","FF_2006_000046_KEN, FF_2012_000062_KEN, FL_2010_000174_KEN, FL_2011_000115_KEN, FL_2007_000139_KEN",FF_2006_000046_KEN,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,100%,0.0
FL_2019_000052_SRB,"FL_2001_000332_IND, FL_2001_000390_POL, FL_2006_000070_IND, FL_1997_000142_CZE, FL_2000_000444_IND","FF_2020_000158_SRB, FL_2007_000217_SRB, FL_2016_000025_SRB, FL_2021_000208_IRQ, FF_2012_000107_SLB","FL_2001_000332_IND, FL_2001_000390_POL, FL_2006_000070_IND, FL_1997_000142_CZE, FL_2000_000444_IND",FL_2001_000332_IND,0.0,Latent-driven match; continuous atmospheric physics dominated.,100%,0%,0.0
FL_2020_000213_LAO,"FL_2000_000583_LAO, FF_2016_000093_LAO, FL_2002_000614_LAO, FL_2001_000236_URY, FL_2006_000086_CHL","FL_2002_000614_LAO, FF_2018_000118_LAO, FL_2000_000583_LAO, FF_2016_000093_LAO, FL_2008_000054_THA","FL_2000_000583_LAO, FL_2002_000614_LAO, FF_2016_000093_LAO, FL_2001_000236_URY, FL_2006_000086_CHL",FL_2000_000583_LAO,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,60%,0.0
FL_2018_000092_MNG,"FL_2003_000350_MNG, FL_2010_000012_EGY, FL_2009_000140_MNG, FF_2022_000278_MNG, FL_2006_000068_CHN","FL_2009_000140_MNG, FF_2021_000098_MNG, FF_2020_000168_MNG, FL_2003_000350_MNG, FL_2018_000144_PRK","FL_2003_000350_MNG, FL_2010_000012_EGY, FL_2009_000140_MNG, FF_2022_000278_MNG, FL_2006_000068_CHN",FL_2003_000350_MNG,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,60%,0.0
FL_2021_000145_BEN,"FL_2012_000174_BEN, FL_2007_000141_NGA, FL_1998_000040_URY, FL_2010_000118_GHA, FL_2009_000127_BEN","FL_2022_000332_BEN, FL_2011_000091_BEN, FL_2007_000141_NGA, FL_2022_000336_VNM, FL_2009_000127_BEN","FL_2012_000174_BEN, FL_2007_000141_NGA, FL_1998_000040_URY, FL_2010_000118_GHA, FL_2009_000127_BEN",FL_2012_000174_BEN,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,40%,0.0
FL_2020_000198_SEN,"FL_2019_000118_SEN, FL_2000_000048_BWA, FL_2019_000031_SYR, FL_2012_000056_PRY, FL_2003_000389_BFA","FL_2012_000169_SEN, FL_2009_000164_SEN, FL_2002_000026_SEN, FL_2007_000130_CIV, FL_2013_000008_MOZ","FL_2019_000118_SEN, FL_2000_000048_BWA, FL_2019_000031_SYR, FL_2012_000056_PRY, FL_2003_000389_BFA",FL_2019_000118_SEN,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,20%,0.0
FL_2018_000028_BWA,"FL_2003_000196_ARG, FL_2009_000120_BWA, FL_2000_000048_BWA, FL_2022_000276_GMB, FL_2020_000172_MMR","FL_2016_000122_SRB, FL_2000_000048_BWA, FL_2009_000120_BWA, FL_2013_000013_BWA, FL_2000_000012_MOZ","FL_2003_000196_ARG, FL_2009_000120_BWA, FL_2000_000048_BWA, FL_2022_000276_GMB, FL_2020_000172_MMR",FL_2003_000196_ARG,0.0,Latent-driven match; continuous atmospheric physics dominated.,100%,40%,0.0
FL_2021_000043_YEM,"FF_2016_000034_YEM, FL_2005_000070_YEM, FF_2019_000054_YEM, FL_1999_000548_YEM, FL_2021_000110_YEM","FL_2021_000110_YEM, FL_2008_000201_YEM, FF_2020_000123_YEM, FL_1999_000548_YEM, FL_2022_000277_SDN","FF_2016_000034_YEM, FL_2005_000070_YEM, FF_2019_000054_YEM, FL_1999_000548_YEM, FL_2021_000110_YEM",FF_2016_000034_YEM,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,100%,0.0
