Pangu_Event,1st_Analog_ERA5,1st_Sim_Score,2nd_Analog_ERA5,2nd_Sim_Score,3rd_Analog_ERA5,3rd_Sim_Score
FL_2021_000173_IDN,FL_2000_000258_IDN,0.55704296,FL_2014_000154_IDN,0.55172914,FL_2012_000153_IDN,0.54594386
FL_2019_000133_SOM,FL_2013_000052_SOM,0.66066754,FL_2013_000141_SOM,0.6380279,FL_2015_000040_SOM,0.6284387
FL_2019_000119_CMR,FL_2013_000123_CMR,0.7101971,FF_2017_000122_CMR,0.68563336,FL_2007_000149_CMR,0.6500865
FL_2019_000162_MYS,FL_2022_000265_YEM,0.5138529,FL_2016_000075_BGD,0.4845849,FL_2021_000147_THA,0.47900262
FL_2018_000043_TZA,FL_2014_000053_TZA,0.64131504,FL_2020_000125_TZA,0.61881125,FL_2008_000011_TZA,0.61837476
FL_2022_000277_SDN,FL_2012_000129_SDN,0.6734035,FL_2013_000104_MLI,0.62496257,FL_2014_000098_SDN,0.60539687
FL_2018_000058_COL,FL_2014_000163_COL,0.8794331,FL_2006_000044_COL,0.8217082,FL_2008_000076_COL,0.8192501
FL_2018_000105_BGD,FF_2020_000123_YEM,0.5326926,FL_2022_000217_BGD,0.5245562,FL_2000_000083_ZWE,0.50716096
FL_2020_000237_LKA,FL_2010_000196_LKA,0.693258,FL_2014_000162_LKA,0.656212,FL_2016_000050_LKA,0.62032366
FL_2022_000382_ZAF,FL_2014_000038_ZAF,0.63609105,FL_2022_000201_ZAF,0.5083858,FL_2021_000049_RWA,0.45411074
FL_2021_000051_SOM,FL_2013_000052_SOM,0.6629259,FL_2011_000161_SOM,0.5845417,FL_2008_000180_NIC,0.57765913
FL_2018_000414_IRQ,FL_2010_000019_MEX,0.58661723,FL_2021_000208_IRQ,0.54180664,FL_2010_000042_SRB,0.53691924
FL_2022_000305_GIN,FL_2020_000202_GIN,0.81577265,FL_2001_000549_GIN,0.7183643,FL_2011_000131_GIN,0.6958306
FL_2021_000204_BRA,FL_2013_000157_BRA,0.62375283,FL_2009_000239_BRA,0.60778123,FL_2011_000002_BRA,0.57443625
FF_2018_000041_SOM,FL_2016_000046_SOM,0.59598833,FL_2011_000161_SOM,0.5681616,FL_2012_000173_SOM,0.5594512
FL_2018_000419_PRY,FL_2002_000322_CHL,0.59151137,FL_2005_000103_SLV,0.5439099,FL_2012_000039_CHL,0.51719517
FL_2020_000054_BDI,FL_2021_000039_BDI,0.8713246,FL_2009_000075_BDI,0.77614486,LS_2010_000040_UGA,0.7713008
FL_2021_000061_MYS,FL_2011_000108_SEN,0.57736087,FL_2003_000220_NAM,0.5453589,FL_2012_000200_BFA,0.5175385
FF_2019_000054_YEM,FL_2022_000265_YEM,0.79853845,FL_2021_000110_YEM,0.6706698,FL_2005_000070_YEM,0.5961218
FL_2019_000020_COL,FL_2009_000241_COL,0.8384928,FL_2012_000042_COL,0.770283,FL_2003_000578_COL,0.7619956
FL_2022_000332_BEN,FL_2021_000145_BEN,0.7183673,FL_1998_000329_BEN,0.69825494,FL_2007_000141_NGA,0.69678617
FL_2020_000154_CIV,FL_2012_000172_MLI,0.680694,FL_2013_000125_BFA,0.5834025,FL_2019_000131_CIV,0.5699315
FL_2018_000128_SDN,FL_2017_000088_SDN,0.87606937,FL_2001_000417_SDN,0.8675516,FL_2010_000139_SDN,0.86513203
FL_2019_000083_NPL,SL_2002_000428_NPL,0.89011574,FL_2003_000341_NPL,0.85662556,FL_2006_000127_NPL,0.8411499
FF_2022_000309_SLE,FL_2005_000139_SLE,0.5833976,FL_2019_000089_SLE,0.57889295,FL_2022_000321_CAF,0.54270005
FL_2020_000212_KHM,FL_2006_000130_KHM,0.6572244,FL_2000_000438_KHM,0.63787967,FL_1999_000259_KHM,0.6280381
FL_2020_000038_EGY,FL_2001_000620_DZA,0.6332911,FL_2011_000109_PAK,0.59937876,FL_1998_000247_IRN,0.5592644
FF_2020_000055_SOM,FL_2011_000161_SOM,0.58179736,FL_2016_000046_SOM,0.56046396,FL_2007_000111_GBR,0.51869214
FL_2019_000131_CIV,FL_2009_000170_MRT,0.59436095,FL_2007_000130_CIV,0.5882546,FL_2022_000249_CIV,0.5651924
FL_2019_000081_MMR,FL_2016_000058_MMR,0.891428,FL_1997_000177_MMR,0.85915494,FL_2013_000087_MMR,0.8312745
FL_2019_000171_LKA,FL_2021_000057_LKA,0.7950777,FF_2009_000160_LKA,0.73122203,FL_2006_000155_LKA,0.7027726
FL_2020_000242_COL,FL_2010_000076_COL,0.8061413,LS_2010_000190_COL,0.8025354,FL_2014_000163_COL,0.78841376
LS_2022_000224_GTM,FL_2021_000078_GTM,0.74055624,FL_2016_000081_GTM,0.736804,FL_2011_000045_GTM,0.7341926
FL_2020_000192_TCD,FL_2001_000521_TCD,0.7692852,FL_2022_000287_TCD,0.6617911,FL_1998_000251_SDN,0.5854364
FL_2022_000312_BGR,TC_2012_000044_FJI,0.59502506,FL_2004_000100_PAN,0.46789116,FL_2007_000086_PAN,0.46235335
FL_2021_000078_GTM,FL_2012_000098_GTM,0.77014315,FL_2011_000045_GTM,0.7321599,LS_2022_000224_GTM,0.6978086
FL_2018_000124_MMR,FL_1997_000177_MMR,0.80296683,FL_2019_000081_MMR,0.7996187,FL_2013_000087_MMR,0.79859805
TC_2018_000110_CHN,FL_2009_000113_CHN,0.75991756,FL_2002_000350_CHN,0.74179804,FL_2017_000075_CHN,0.74056613
FL_2019_000093_NGA,FL_2007_000123_NGA,0.82763183,FL_2017_000126_NGA,0.76191604,FL_2022_000271_NGA,0.7313648
