subject,predicate,object
Marcel_Duchamp,wikiPageWikiLink,Conceptual_art
Marcel_Duchamp,wikiPageWikiLink,Cubism
Marcel_Duchamp,wikiPageWikiLink,Dada
Marcel_Duchamp,wikiPageWikiLink,Fauvism
Marcel_Duchamp,wikiPageWikiLink,Fountain_(Duchamp)
Marcel_Duchamp,wikiPageWikiLink,Henri_Matisse
Marcel_Duchamp,wikiPageWikiLink,Hudson_River
Marcel_Duchamp,wikiPageWikiLink,Impressionism
Marcel_Duchamp,wikiPageWikiLink,L.H.O.O.Q.
Marcel_Duchamp,wikiPageWikiLink,Maria_Martins_(artist)
Marcel_Duchamp,wikiPageWikiLink,Mary_Reynolds_(artist)
Marcel_Duchamp,wikiPageWikiLink,Montparnasse_Cemetery
Marcel_Duchamp,wikiPageWikiLink,Neuilly-sur-Seine
Marcel_Duchamp,wikiPageWikiLink,"Nude_Descending_a_Staircase,_No._2"
Marcel_Duchamp,wikiPageWikiLink,Pablo_Picasso
Marcel_Duchamp,wikiPageWikiLink,Pop_art
Marcel_Duchamp,wikiPageWikiLink,Post-Impressionism
Marcel_Duchamp,wikiPageWikiLink,Romanian_language
Marcel_Duchamp,wikiPageWikiLink,Rouen
Marcel_Duchamp,wikiPageWikiLink,Salvador_Dalí
Marcel_Duchamp,wikiPageWikiLink,Surrealism
Marcel_Duchamp,wikiPageWikiLink,"The_Bride_Stripped_Bare_by_Her_Bachelors,_Even"
Marcel_Duchamp,wikiPageWikiLink,Étant_donnés
Marcel_Duchamp,wikiPageWikiLink,André_Breton
Marcel_Duchamp,wikiPageWikiLink,Greenwich_Village
Marcel_Duchamp,wikiPageWikiLink,Kinetic_art
Marcel_Duchamp,wikiPageWikiLink,Puteaux
Marcel_Duchamp,wikiPageWikiLink,Tate
Marcel_Duchamp,wikiPageWikiLink,Anagram
Marcel_Duchamp,wikiPageWikiLink,Guillaume_Apollinaire
Marcel_Duchamp,wikiPageWikiLink,RealPlayer
Marcel_Duchamp,wikiPageWikiLink,Sotheby's
Marcel_Duchamp,wikiPageWikiLink,Mobile_(sculpture)
Marcel_Duchamp,wikiPageWikiLink,Henri-Pierre_Roché
Marcel_Duchamp,wikiPageWikiLink,The_Blind_Man
Marcel_Duchamp,wikiPageWikiLink,André_Mare
Marcel_Duchamp,wikiPageWikiLink,Archives_of_American_Art
Marcel_Duchamp,wikiPageWikiLink,View_(magazine)
Marcel_Duchamp,wikiPageWikiLink,"Category:People_from_Ridgefield,_New_Jersey"
Marcel_Duchamp,wikiPageWikiLink,Aleatoric_music
Marcel_Duchamp,wikiPageWikiLink,Contemporary_art
Marcel_Duchamp,wikiPageWikiLink,Fluxus
Marcel_Duchamp,wikiPageWikiLink,Futurism
Marcel_Duchamp,wikiPageWikiLink,Installation_art
Marcel_Duchamp,wikiPageWikiLink,Retina
Marcel_Duchamp,wikiPageWikiLink,Avant-garde
Marcel_Duchamp,wikiPageWikiLink,Mona_Lisa
Marcel_Duchamp,wikiPageWikiLink,Samuel_Beckett
Marcel_Duchamp,wikiPageWikiLink,Tristan_Tzara
Marcel_Duchamp,wikiPageWikiLink,Alte_Pinakothek
Marcel_Duchamp,wikiPageWikiLink,Funnel
Marcel_Duchamp,wikiPageWikiLink,Museum_of_Modern_Art
Marcel_Duchamp,wikiPageWikiLink,Oxford_University_Press
Marcel_Duchamp,wikiPageWikiLink,René_Clair
Marcel_Duchamp,wikiPageWikiLink,Robert_Delaunay
Marcel_Duchamp,wikiPageWikiLink,Aphorism
Marcel_Duchamp,wikiPageWikiLink,J._P._Morgan
Marcel_Duchamp,wikiPageWikiLink,Chessboard
Marcel_Duchamp,wikiPageWikiLink,Frederick_John_Kiesler
Marcel_Duchamp,wikiPageWikiLink,Alexander_Archipenko
Marcel_Duchamp,wikiPageWikiLink,Bicycle_Wheel
Marcel_Duchamp,wikiPageWikiLink,Francis_Picabia
Marcel_Duchamp,wikiPageWikiLink,John_Heartfield
Marcel_Duchamp,wikiPageWikiLink,Richard_Hamilton_(artist)
Marcel_Duchamp,wikiPageWikiLink,Robert_Desnos
Marcel_Duchamp,wikiPageWikiLink,Robert_Motherwell
Marcel_Duchamp,wikiPageWikiLink,Robert_Rauschenberg
Marcel_Duchamp,wikiPageWikiLink,Armory_Show
Marcel_Duchamp,wikiPageWikiLink,LTM_Recordings
Marcel_Duchamp,wikiPageWikiLink,Pierre_Dumont_(painter)
Marcel_Duchamp,wikiPageWikiLink,James_Johnson_Sweeney
Marcel_Duchamp,wikiPageWikiLink,Jacques_Villon
Marcel_Duchamp,wikiPageWikiLink,Maya_Deren
Marcel_Duchamp,wikiPageWikiLink,New_York_Dada
Marcel_Duchamp,wikiPageWikiLink,De_ou_par_Marcel_Duchamp_ou_Rrose_Sélavy_(La_Boîte-en-valise)
Marcel_Duchamp,wikiPageWikiLink,Robert_Antoine_Pinchon
Marcel_Duchamp,wikiPageWikiLink,Art_of_Europe
Marcel_Duchamp,wikiPageWikiLink,Rongwrong
Marcel_Duchamp,wikiPageWikiLink,Alexina_Duchamp
Marcel_Duchamp,wikiPageWikiLink,Christie's
Marcel_Duchamp,wikiPageWikiLink,Graphic_design
